"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Oct 23 14:53:40 GMT 2022","Sun Oct 23 14:53:44 GMT 2022","4364","","org.allureHomework.Archive.StepsTest","","org.allureHomework.Archive.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Sun Oct 23 14:53:52 GMT 2022","Sun Oct 23 14:53:54 GMT 2022","2323","","org.allureHomework.Tests.GitHubTests","","org.allureHomework.Tests.GitHubTests","checkIssueNameWithAnnotationStep","Проверить имя issue – тест с аннотацией @Step",""
"passed","Sun Oct 23 14:53:36 GMT 2022","Sun Oct 23 14:53:36 GMT 2022","2","","org.allureHomework.Archive.LabelsTest","","org.allureHomework.Archive.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Oct 23 14:53:50 GMT 2022","Sun Oct 23 14:53:52 GMT 2022","2401","","org.allureHomework.Tests.GitHubTests","","org.allureHomework.Tests.GitHubTests","checkIssueNameWithLambdaSteps","Проверить имя issue – тест с lamda-функцией step",""
"passed","Sun Oct 23 14:53:36 GMT 2022","Sun Oct 23 14:53:36 GMT 2022","1","","org.allureHomework.Archive.LabelsTest","","org.allureHomework.Archive.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Oct 23 14:53:36 GMT 2022","Sun Oct 23 14:53:40 GMT 2022","3714","","org.allureHomework.Archive.SelenideTest","","org.allureHomework.Archive.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Sun Oct 23 14:53:47 GMT 2022","Sun Oct 23 14:53:50 GMT 2022","2886","","org.allureHomework.Tests.GitHubTests","","org.allureHomework.Tests.GitHubTests","checkIssueNameSelenide","Проверить имя issue – тест Selenide",""
"passed","Sun Oct 23 14:53:35 GMT 2022","Sun Oct 23 14:53:36 GMT 2022","719","","org.allureHomework.Archive.AttachmentsTest","","org.allureHomework.Archive.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Sun Oct 23 14:53:30 GMT 2022","Sun Oct 23 14:53:35 GMT 2022","4924","","org.allureHomework.Archive.AttachmentsTest","","org.allureHomework.Archive.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Sun Oct 23 14:53:44 GMT 2022","Sun Oct 23 14:53:47 GMT 2022","2727","","org.allureHomework.Archive.StepsTest","","org.allureHomework.Archive.StepsTest","testLambdaStep","testLambdaStep()",""
